gene,LV1,LV2,LV3,LV4,LV5,LV6,LV7,LV8,LV9,LV10,LV11,LV12,LV13,LV14,LV15,LV16,LV17,LV18,LV19,LV20,LV21,LV22,LV23,LV24,LV25,LV26,LV27,LV28,LV29,LV30
NID1,0.04386188683749424,0.16756120130848332,0.0,0.05054681830391756,0.2422096339723258,0.1445728324906793,0.0923535484189048,0.03922959383956065,0.03637100590175724,0.03900029245301589,0.0,0.05038591554393543,0.0,0.0,0.05574222303368182,0.0,0.0,0.0,0.12576992178826,0.0,0.0,0.016440588864989475,0.0009934739490923725,0.0,0.03856101266486037,0.0,0.0,0.0,0.009011950395550394,0.013222263034667666
LTF,0.0,0.08042801719452271,0.005539695851391743,0.0,0.0743587636975599,0.0,0.0,0.1546191671807587,0.0,0.0,0.05770368626350602,0.0,0.013454635310937432,0.0,0.01333358135248079,0.00657933750017108,0.04342827349266991,0.0,0.0,0.061293523330264714,0.2787511489395561,0.11739456432610657,0.16165242134489796,0.12067806765398419,0.0,0.07006352282734402,0.0,0.0,0.0,0.02639397192128006
PLTP,0.0,0.0,0.0,0.0585049019124018,0.09595111457753193,0.0,0.1301531023219914,0.06364935516833119,0.04432896053468789,0.10430541497878268,0.08033421238402146,0.0,0.002192015331941211,0.0,0.012678170191904013,0.0,0.0,0.030958805648799142,0.15018681464194822,0.08189921545194709,0.08483985801184073,0.020317995530772834,0.0,0.006907022903106439,0.10277376068039759,0.3103572916407586,0.0,0.025149787283697357,0.0,0.0
SEC14L1,0.05382595402585452,0.1993610399433357,0.0,0.0,0.017669481033914386,0.0,0.0,0.0,0.011033424017172276,0.0,0.050660654914353634,0.0,0.03799550809135573,0.0,0.0,0.0,0.004299005259485974,0.15084165352578785,0.060451357788083256,0.08869237875764852,0.0,0.02796378280021927,0.0,0.07334626464464965,0.0,0.03557244343696197,0.0,0.0,0.1379973158521658,0.0
MX1,0.0,0.0,0.05522828226958108,0.02772649023047889,0.04784721387109444,0.006563636168948622,0.0,0.05033121984765574,0.0,0.009791853709283973,0.0,0.0,0.0,0.0,0.0,0.0,0.00797176876766983,0.0,0.0,0.11434741079372363,0.009079764164768868,0.0,0.005476002212516022,0.0,0.0,0.014166387270681594,0.6707229219478025,0.04035729464174485,0.0,0.0
RALB,0.0,0.24961202805888222,0.0,0.0,0.0,0.007275832111195319,0.07674836890275688,0.0,0.03409119410614532,0.2291543799780575,0.0121383377650845,0.0,0.031298705090208614,0.0,0.0,0.0,0.0,0.036011103515357794,0.03595765775941964,0.0,0.0,0.04842586316164113,0.0,0.018395954953013743,0.0,0.04483272227733014,0.004295537272643982,0.0,0.014900690890187546,0.0
CHPF,0.0,0.0,0.0,0.0,0.0,0.0006529916652474176,0.0,0.45064262450859144,0.03746284347749453,0.005278990558430047,0.0,0.14743232428975425,0.0,0.0,0.0,0.0,0.000930048949640164,0.0,0.06729580956474522,0.03385763705183244,0.0,0.0,0.0,0.001451597137985032,0.0,0.13617605487872925,0.0,0.0,0.0,0.10345199325344251
LIMK2,0.05174633608481331,0.22253486536526118,0.0,0.0,0.0,0.032179048384825146,0.0,0.0,0.0,0.24246905952190695,0.0,0.0,0.0,0.0,0.0,0.04805640377369217,0.047479192725953995,0.011602609904755277,0.033620286180250446,0.0008272199923292425,0.0,0.021556525749653874,0.0,0.0,0.0,0.022483023690496394,0.024805177655791585,0.0,0.004186453786660393,0.0
BLVRB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13805980284265656,0.0,0.0,0.28747530718958375,0.0051158991883319595,0.3739542052656128,0.0,0.0,0.0,0.0,0.0,0.08328875301025435,0.04226319623257524,0.0,0.005358634200665654,0.0795707951677688,0.0,0.0,0.014889348617694151,0.0,0.0,0.005646576181758144,0.013710023615181406
PDGFRB,0.0,0.0,0.07522743297999644,0.0,0.0,0.0,0.07918782816037524,0.0,0.0,0.0,0.0,0.042994787418632274,0.0,0.3313141707036481,0.028621296044907624,0.09075966830883243,0.0,0.05393702449570121,0.0,0.08456341452460561,0.06486144996667684,0.0,0.0,0.0987684059596891,0.09018629886205991,0.0,0.028489399208031323,0.0,0.03750030437922048,0.0
UBE2B,0.0,0.2003623202089954,0.0,0.0,0.0,0.0,0.07502464298247105,0.0,0.07007262809051105,0.10495109640868978,0.04631777070533215,0.0,0.07317068598773582,0.0,0.0,0.0,0.0,0.1631574612378442,0.07957939972816902,0.0,0.0,0.03462832316013472,0.08407102810137931,0.0331791400442358,0.0,0.005994207033510473,0.007232102714784819,0.0,0.026896678952650625,0.0
TRAM2,0.06976350907336086,0.0,0.07463154798606499,0.07881624846048986,0.014177906301500733,0.0,0.05668351811697657,0.3270483726403772,0.0,0.0,0.039022070399411586,0.020941103806384132,0.039074213453924804,0.0,0.0,0.0,0.0,0.010749743027030082,0.0,0.0,0.0,0.0,0.0,0.020211425955137134,0.0,0.019597210425656573,0.0,0.0,0.11316678309144247,0.0
ADAM9,0.1309670342262295,0.07887552895479219,0.0,0.008099672441432955,0.08779631398565879,0.0,0.11596153108781333,0.01974721370704461,0.0,0.07883857736630383,0.0,0.0,0.004603391329071994,0.0,0.0,0.0,0.0,0.0,0.06398629148556477,0.0,0.032546739088590376,0.07583055883579969,0.0,0.0,0.0,0.0,0.06039508995264577,0.012769010720517159,0.10668754020745838,0.0
IFI27,0.0348897660782782,0.0,0.0,0.047158906193056925,0.030738932395592198,0.0,0.0,0.02124896591790248,0.02066144555977554,0.016062312319049987,0.14977095689085917,0.003192712376643398,0.22580403727659498,0.0,0.0,0.06963903775449544,0.0,0.0,0.0556508732216256,0.0723248652710472,0.0,0.0,0.0,0.0,0.02465459199075807,0.0,0.5967627562970274,0.0,0.0,0.0
RXRA,0.0,0.19993038785149628,0.0,0.0,0.100817478758445,0.0,0.0,0.0,0.0,0.0,0.18201336510103774,0.11855751690386357,0.11917318914541809,0.0,0.027023512338468197,0.0,0.0,0.09282216313758809,0.04973071992964458,0.021265891726867554,0.009717246486494925,0.09535541555540826,0.0,0.12855320487119995,0.07792566568978374,0.03809392683939895,0.0,0.0,0.04484261372271369,0.0
CTSK,0.0,0.041149009179564607,0.20648910813790866,0.017240911327080232,0.03328388796178328,0.0,0.0,0.0,0.0,0.07301316966897706,0.0,0.07487132769685756,0.0,0.0077123419523509,0.18842474920654786,0.04220321492275895,0.0,0.03719521488871955,0.0,0.0,0.0,0.0,0.0,0.047950906289665536,0.0,0.0,0.061395933569904804,0.0892440885909731,0.02141765004910348,0.0
PFKFB3,0.0,0.21238011308947014,0.0,0.008408588827691053,0.0,0.006101217634866902,0.05398289674692628,0.018629560046245115,0.0,0.3273591132996166,0.0,0.0,0.0,0.0,0.0,0.021199227282266583,0.0,0.0,0.02985529050668184,0.0,0.018271444678590768,0.08898802327163705,0.0,0.0,0.0,0.008801317614078994,0.06259629202620252,0.0,0.010638940312790985,0.0
TNFAIP2,0.001576008113558482,0.18242760548865739,0.2158676692723942,0.0,0.12329952363540458,0.0,0.0,0.0,0.06396061125399437,0.0,0.0,0.10313433338690467,0.0,0.0,0.02212411952526527,0.0,0.07872499939496125,0.1443179781010191,0.0,0.0,0.0,0.0,0.0,0.08267679454285509,0.0,0.0,0.008946329828638534,0.0,0.10160241430685411,0.0
